region_key,median_income
bacon_georgia,50310
baker_georgia,44405
baldwin_georgia,55413
banks_georgia,68830
barrow_georgia,77477
bartow_georgia,79431
ben hill_georgia,39081
berrien_georgia,50414
bibb_georgia,50747
bleckley_georgia,53005
brantley_georgia,47801
brooks_georgia,47656
bryan_georgia,94234
bulloch_georgia,56832
burke_georgia,50739
butts_georgia,59221
calhoun_georgia,55714
camden_georgia,72399
candler_georgia,50431
carroll_georgia,72327
catoosa_georgia,72425
charlton_georgia,48534
chatham_georgia,69575
chattahoochee_georgia,59221
chattooga_georgia,47785
cherokee_georgia,105442
clarke_georgia,52267
clay_georgia,48715
clayton_georgia,58507
clinch_georgia,55549
cobb_georgia,98712
coffee_georgia,50175
colquitt_georgia,49691
columbia_georgia,96122
cook_georgia,50133
coweta_georgia,94142
crawford_georgia,60905
crisp_georgia,42745
dade_georgia,58936
dawson_georgia,88986
decatur_georgia,50485
dekalb_georgia,77683
dodge_georgia,50152
dooly_georgia,56545
dougherty_georgia,46784
douglas_georgia,80764
early_georgia,53750
echols_georgia,61723
effingham_georgia,85465
elbert_georgia,49727
emanuel_georgia,50053
evans_georgia,53908
fannin_georgia,58073
fayette_georgia,108986
floyd_georgia,62540
forsyth_georgia,138000
franklin_georgia,52264
fulton_georgia,91490
gilmer_georgia,72542
glascock_georgia,55250
glynn_georgia,68546
gordon_georgia,61997
grady_georgia,54312
greene_georgia,84530
gwinnett_georgia,84823
habersham_georgia,65622
hall_georgia,77430
hancock_georgia,33182
haralson_georgia,65016
harris_georgia,89184
hart_georgia,57241
heard_georgia,62907
henry_georgia,81612
houston_georgia,80743
irwin_georgia,53915
jackson_georgia,85012
jasper_georgia,59574
jeff davis_georgia,40879
jefferson_georgia,46561
jenkins_georgia,36906
johnson_georgia,54183
jones_georgia,68259
lamar_georgia,68457
lanier_georgia,44361
laurens_georgia,49705
lee_georgia,88024
liberty_georgia,59013
lincoln_georgia,50688
long_georgia,64747
lowndes_georgia,55887
lumpkin_georgia,72388
mcduffie_georgia,54058
mcintosh_georgia,50348
macon_georgia,37177
madison_georgia,58784
marion_georgia,50484
meriwether_georgia,56458
miller_georgia,58407
mitchell_georgia,51908
monroe_georgia,82863
montgomery_georgia,51188
morgan_georgia,85692
murray_georgia,67880
muscogee_georgia,56622
newton_georgia,73732
oconee_georgia,115925
oglethorpe_georgia,69784
paulding_georgia,94557
peach_georgia,68365
pickens_georgia,75293
pierce_georgia,56691
pike_georgia,84184
polk_georgia,55308
pulaski_georgia,47688
putnam_georgia,64163
quitman_georgia,36838
rabun_georgia,61466
randolph_georgia,25425
richmond_georgia,53197
rockdale_georgia,72349
schley_georgia,59647
screven_georgia,53017
seminole_georgia,49559
spalding_georgia,60217
stephens_georgia,52264
stewart_georgia,35000
sumter_georgia,41877
talbot_georgia,45098
taliaferro_georgia,48036
tattnall_georgia,52351
taylor_georgia,41743
